08-05 03:42:35.686  5072  5072 D ReactNative: ReactInstanceManager.onJSBundleLoadedFromServer()
08-05 03:42:35.686  5072  5072 D ReactNative: ReactInstanceManager.recreateReactContextInBackground()
08-05 03:42:35.686  5072  5072 D ReactNative: ReactInstanceManager.runCreateReactContextOnNewThread()
08-05 03:42:35.686  5072  5072 D ReactNative: ReactInstanceManager.tearDownReactContext()
08-05 03:42:35.690  5072  5072 D ReactNative: CatalystInstanceImpl.destroy() start
08-05 03:42:35.692  5072  9268 D ReactNative: ReactInstanceManager.createReactContext()
08-05 03:42:35.803  5072  9270 D ReactNative: CatalystInstanceImpl.destroy() end
08-05 03:42:35.808  5072  9268 D ReactNative: Initializing React Xplat Bridge.
08-05 03:42:35.809  5072  9268 D ReactNative: Initializing React Xplat Bridge before initializeBridge
08-05 03:42:35.815  5072  9268 D ReactNative: Initializing React Xplat Bridge after initializeBridge
08-05 03:42:35.815  5072  9268 D ReactNative: CatalystInstanceImpl.runJSBundle()
08-05 03:42:35.816  5072  9273 D ReactNative: ReactInstanceManager.setupReactContext()
08-05 03:42:35.816  5072  9273 D ReactNative: CatalystInstanceImpl.initialize()
08-05 03:42:35.816  5072  9273 D ReactNative: ReactInstanceManager.attachRootViewToInstance()
08-05 03:42:37.546  5072  9272 W ReactNativeJS: { head: 
08-05 03:42:37.665  5072  9272 W ReactNativeJS:          { tag: 0,
08-05 03:42:37.665  5072  9272 W ReactNativeJS:            data: { tag: 0, data: { Name: 'Parrot', Source: 1 } } } },
08-05 03:42:37.665  5072  9272 W ReactNativeJS:      tail: 
08-05 03:42:37.665  5072  9272 W ReactNativeJS:       { head: { tag: 11, data: [Function] },
08-05 03:42:37.665  5072  9272 W ReactNativeJS:         tail: { head: undefined, tail: undefined } } } }
08-05 03:42:37.670  5072  9272 W ReactNativeJS: { head: { tag: 0, data: [Function: separator] },
08-05 03:42:37.670  5072  9272 W ReactNativeJS:   tail: { head: undefined, tail: undefined } }
08-05 03:42:37.677  5072  9272 W ReactNativeJS: { head: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:    { tag: 5,
08-05 03:42:37.677  5072  9272 W ReactNativeJS:      data: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:       { head: { tag: 37, data: '1.5%' },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:         tail: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:          { head: { tag: 44, data: 5 },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:            tail: { head: undefined, tail: undefined } } } },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:    { head: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:       { tag: 22,
08-05 03:42:37.677  5072  9272 W ReactNativeJS:         data: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:          { head: { tag: 4, data: 'wheat' },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:            tail: { head: undefined, tail: undefined } } },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:      tail: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:       { head: { tag: 20, data: [Function] },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:         tail: 
08-05 03:42:37.677  5072  9272 W ReactNativeJS:          { head: { tag: 11, data: [Function] },
08-05 03:42:37.677  5072  9272 W ReactNativeJS:            tail: { head: undefined, tail: undefined } } } } }
08-05 03:42:37.681  5072  9272 W ReactNativeJS: { head: { tag: 37, data: '1.5%' },
08-05 03:42:37.681  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.681  5072  9272 W ReactNativeJS:    { head: { tag: 44, data: 5 },
08-05 03:42:37.681  5072  9272 W ReactNativeJS:      tail: { head: undefined, tail: undefined } } }
08-05 03:42:37.686  5072  9272 W ReactNativeJS: { head: { tag: 4, data: 'wheat' },
08-05 03:42:37.686  5072  9272 W ReactNativeJS:   tail: { head: undefined, tail: undefined } }
08-05 03:42:37.689  5072  9272 W ReactNativeJS: { head: { tag: 0, data: [Function: separator] },
08-05 03:42:37.689  5072  9272 W ReactNativeJS:   tail: 
08-05 03:42:37.689  5072  9272 W ReactNativeJS:    { head: { tag: 3, data: [Function: listControls] },
08-05 03:42:37.689  5072  9272 W ReactNativeJS:      tail: { head: undefined, tail: undefined } } }
08-05 03:42:37.746  5072  9272 W ReactNativeJS: { head: 
08-05 03:42:37.746  5072  9272 W ReactNativeJS:    { tag: 8,
08-05 03:42:37.746  5072  9272 W ReactNativeJS:      data: 
08-05 03:42:37.746  5072  9272 W ReactNativeJS:       { head: { data: 125 },
08-05 03:42:37.746  5072  9272 W ReactNativeJS:         tail: { head: undefined, tail: undefined } } },
08-05 03:42:37.746  5072  9272 W ReactNativeJS:   tail: { head: undefined, tail: undefined } }
08-05 03:42:37.749  5072  9272 W ReactNativeJS: { head: { data: 125 },
08-05 03:42:37.749  5072  9272 W ReactNativeJS:   tail: { head: undefined, tail: undefined } }
08-05 03:42:37.753  5072  9272 W ReactNativeJS: { head: 
08-05 03:42:37.753  5072  9272 W ReactNativeJS:    { tag: 8,
08-05 03:42:37.753  5072  9272 W ReactNativeJS:      data: 
08-05 03:42:37.753  5072  9272 W ReactNativeJS:       { head: { data: 125 },
08-05 03:42:37.753  5072  9272 W ReactNativeJS:         tail: { head: undefined, tail: undefined } } },
08-05 03:42:37.753  5072  9272 W ReactNativeJS:   tail: { head: undefined, tail: undefined } }
08-05 03:42:37.756  5072  9272 W ReactNativeJS: { head: { data: 125 },
08-05 03:42:37.756  5072  9272 W ReactNativeJS:   tail: { head: undefined, tail: undefined } }
08-05 03:42:37.825  5072  9272 E ReactNativeJS: Error: Cannot infer key and value of [object Object]
08-05 03:42:37.825  5072  9272 E ReactNativeJS: 
08-05 03:42:37.825  5072  9272 E ReactNativeJS: This error is located at:
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in listControls (at VirtualizedList.js:753)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in RCTView (at View.js:43)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in VirtualizedCellWrapper (at VirtualizedList.js:756)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in RCTView (at View.js:43)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in RCTScrollView (at ScrollView.js:1070)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in ScrollView (at VirtualizedList.js:1045)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in VirtualizedList (at FlatList.js:654)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in FlatList (created by App)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in PortalProvider (created by App)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in App (at renderApplication.js:32)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in RCTView (at View.js:43)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in RCTView (at View.js:43)
08-05 03:42:37.825  5072  9272 E ReactNativeJS:     in AppContainer (at renderApplication.js:31)
08-05 03:42:37.866  5072  9272 E ReactNativeJS: Error: Cannot infer key and value of [object Object]
08-05 03:42:37.866  5072  9272 E ReactNativeJS: 
08-05 03:42:37.866  5072  9272 E ReactNativeJS: This error is located at:
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in listControls (at VirtualizedList.js:753)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in RCTView (at View.js:43)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in VirtualizedCellWrapper (at VirtualizedList.js:756)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in RCTView (at View.js:43)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in RCTScrollView (at ScrollView.js:1070)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in ScrollView (at VirtualizedList.js:1045)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in VirtualizedList (at FlatList.js:654)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in FlatList (created by App)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in PortalProvider (created by App)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in App (at renderApplication.js:32)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in RCTView (at View.js:43)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in RCTView (at View.js:43)
08-05 03:42:37.866  5072  9272 E ReactNativeJS:     in AppContainer (at renderApplication.js:31)
08-05 03:44:16.707  5072  5072 D ReactNative: ReactInstanceManager.onJSBundleLoadedFromServer()
08-05 03:44:16.707  5072  5072 D ReactNative: ReactInstanceManager.recreateReactContextInBackground()
08-05 03:44:16.707  5072  5072 D ReactNative: ReactInstanceManager.runCreateReactContextOnNewThread()
08-05 03:44:16.707  5072  5072 D ReactNative: ReactInstanceManager.tearDownReactContext()
08-05 03:44:16.708  5072  5072 D ReactNative: CatalystInstanceImpl.destroy() start
08-05 03:44:16.710  5072  9448 D ReactNative: ReactInstanceManager.createReactContext()
08-05 03:44:16.804  5072  9450 D ReactNative: CatalystInstanceImpl.destroy() end
08-05 03:44:16.809  5072  9448 D ReactNative: Initializing React Xplat Bridge.
08-05 03:44:16.811  5072  9448 D ReactNative: Initializing React Xplat Bridge before initializeBridge
08-05 03:44:16.816  5072  9448 D ReactNative: Initializing React Xplat Bridge after initializeBridge
08-05 03:44:16.817  5072  9448 D ReactNative: CatalystInstanceImpl.runJSBundle()
08-05 03:44:16.817  5072  9453 D ReactNative: ReactInstanceManager.setupReactContext()
08-05 03:44:16.817  5072  9453 D ReactNative: CatalystInstanceImpl.initialize()
08-05 03:44:16.817  5072  9453 D ReactNative: ReactInstanceManager.attachRootViewToInstance()
08-05 03:44:18.550  5072  9452 W ReactNativeJS: { head: 
08-05 03:44:18.550  5072  9452 W ReactNativeJS:    { tag: 0,
08-05 03:44:18.550  5072  9452 W ReactNativeJS:      data: 
08-05 03:44:18.550  5072  9452 W ReactNativeJS:       [ { tag: 0 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 1 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 2 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 3 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 4 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 5 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 6 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 7 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 8 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 9 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 10 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 11 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 12 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 13 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 14 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 15 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 16 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 17 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 18 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 19 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 20 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 21 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 22 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 23 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 27 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 28 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 29 },
08-05 03:44:18.550  5072  9452 W ReactNativeJS:         { tag: 30 },
